ExternalID,CategoryName,CategoryLevel,ParentCategoryExternalID,Non Taxable Flag,,
010 Instant Lottery,010 Instant Lottery,1,,n,,
011 Machine Lottery,011 Machine Lottery,1,,n,,
06 Eby Tote,06 Eby Tote,1,,n,,
100 Gasoline,100 Gasoline,1,,n,,
201 Alternative Food Service,201 Alternative Food Service,1,,n,,
206 Franchise Food,206 Franchise Food,1,,n,,
212 Hot Beverage,212 Hot Beverage,1,,n,,
215 Cold Beverage,215 Cold Beverage,1,,n,,
218 Pre-Packaged Food Service,218 Pre-Packaged Food Service,1,,n,,
221 Prepared Food Service,221 Prepared Food Service,1,,n,,
231 Food Service Bakery,231 Food Service Bakery,1,,n,,
401 Beer & Wine,401 Beer & Wine,1,,n,,
501 Cigarettes,501 Cigarettes,1,,n,,
601 General Merchan,601 General Merchan,1,,n,,
702 State Lottery Loyalty,702 State Lottery Loyalty,1,,n,,
703 Sony MGM,703 Sony MGM,1,,n,,
704 Incomm Prepaid Cards,704 Incomm Prepaid Cards,1,,n,,
705 Netspend,705 Netspend,1,,n,,
706 Consignment - Gen Mdse,706 Consignment - Gen Mdse,1,,n,,
707 Consignment - Foodservice,707 Consignment - Foodservice,1,,n,,
708 Moneygram,708 Moneygram,1,,n,,
76 Office Supplies,76 Office Supplies,1,,n,,
77 Store Supplies,77 Store Supplies,1,,n,,
800 Miscellanous Sales,800 Miscellanous Sales,1,,n,,
810 Carwash,810 Carwash,1,,n,,
820 Money Order,820 Money Order,1,,n,,
901 Soft Drinks,901 Soft Drinks,1,,n,,
94 M&S Food,94 M&S Food,1,,n,,
95 M&S Petroleum,95 M&S Petroleum,1,,n,,
950 Fees,950 Fees,1,,n,,
952 Containers,952 Containers,1,,n,,
97 Eby Delivery Allowance,97 Eby Delivery Allowance,1,,n,,
PGA Prepaid Card-Activate,PGA Prepaid Card-Activate,1,,n,,
PGR Prepaid Card-Recharge,PGR Prepaid Card-Recharge,1,,n,,
010 01 Instant Lottery,010 01 Instant Lottery,2,010 Instant Lottery,n,,
010 02 Instant Cashless,010 02 Instant Cashless,2,010 Instant Lottery,n,,
011 01 Machine Lottery,011 01 Machine Lottery,2,011 Machine Lottery,n,,
011 02 Machine Cashless,011 02 Machine Cashless,2,011 Machine Lottery,n,,
06 01 Eby Tote,06 01 Eby Tote,2,06 Eby Tote,n,,
100 01 Fuel,100 01 Fuel,2,100 Gasoline,n,,
100 02 Diesel,100 02 Diesel,2,100 Gasoline,n,,
100 03 BIO/DIESEL,100 03 BIO/DIESEL,2,100 Gasoline,n,,
201 01 Non Consignment Ice,201 01 Non Consignment Ice,2,201 Alternative Food Service,n,,
201 02 Sellable Produce,201 02 Sellable Produce,2,201 Alternative Food Service,n,,
206 01 Subway,206 01 Subway,2,206 Franchise Food,n,,
206 101 Dunkin Hot Beverage Supply,206 101 Dunkin Hot Beverage Supply,2,206 Franchise Food,n,,
206 102 Dunkin Hot Beverage ,206 102 Dunkin Hot Beverage ,2,206 Franchise Food,n,,
206 103 Dunkin Cold Beverage Supply,206 103 Dunkin Cold Beverage Supply,2,206 Franchise Food,n,,
206 104 Dunkin Cold Beverage ,206 104 Dunkin Cold Beverage ,2,206 Franchise Food,n,,
206 105 Dunkin Food Supply,206 105 Dunkin Food Supply,2,206 Franchise Food,n,,
206 106 Dunkin Food,206 106 Dunkin Food,2,206 Franchise Food,n,,
212 01 Hot Beverage Supply,212 01 Hot Beverage Supply,2,212 Hot Beverage,n,,
212 02 Hot Beverages,212 02 Hot Beverages,2,212 Hot Beverage,n,,
215 01 Cold Beverage Supply,215 01 Cold Beverage Supply,2,215 Cold Beverage,n,,
215 02 Cold Beverages,215 02 Cold Beverages,2,215 Cold Beverage,n,,
215 03 Misc Other,215 03 Misc Other,2,215 Cold Beverage,n,,
218 01 Entrees & Sides,218 01 Entrees & Sides,2,218 Pre-Packaged Food Service,n,,
218 02 Dairy & Other Deli Products,218 02 Dairy & Other Deli Products,2,218 Pre-Packaged Food Service,n,,
218 03 Misc Other,218 03 Misc Other,2,218 Pre-Packaged Food Service,n,,
221 01 Prepared Food Service Supply,221 01 Prepared Food Service Supply,2,221 Prepared Food Service,n,,
221 02 Roller Grill,221 02 Roller Grill,2,221 Prepared Food Service,n,,
221 03 Sandwich,221 03 Sandwich,2,221 Prepared Food Service,n,,
221 04 Entrees & Sides,221 04 Entrees & Sides,2,221 Prepared Food Service,n,,
221 05 Misc Other,221 05 Misc Other,2,221 Prepared Food Service,n,,
231 01 Food Service Bakery Supplies,231 01 Food Service Bakery Supplies,2,231 Food Service Bakery,n,,
231 02 Pastry/Donut,231 02 Pastry/Donut,2,231 Food Service Bakery,n,,
231 03 Other Baked Goods,231 03 Other Baked Goods,2,231 Food Service Bakery,n,,
231 04 Misc Other,231 04 Misc Other,2,231 Food Service Bakery,n,,
401 01 Beer,401 01 Beer,2,401 Beer & Wine,n,,
401 02 Wine,401 02 Wine,2,401 Beer & Wine,n,,
401 03 Liquor,401 03 Liquor,2,401 Beer & Wine,n,,
401 04 Misc Other,401 04 Misc Other,2,401 Beer & Wine,n,,
501 01 Premium,501 01 Premium,2,501 Cigarettes,n,,
501 06 25 Packs,501 06 25 Packs,2,501 Cigarettes,n,,
501 10 Discount,501 10 Discount,2,501 Cigarettes,n,,
501 20 Sub Generic,501 20 Sub Generic,2,501 Cigarettes,n,,
501 40 Super Premium,501 40 Super Premium,2,501 Cigarettes,n,,
501 50 Private Label,501 50 Private Label,2,501 Cigarettes,n,,
501 99 Msa Upcharge,501 99 Msa Upcharge,2,501 Cigarettes,n,,
601 01 Tobacco,601 01 Tobacco,2,601 General Merchan,n,,
601 02 Candy,601 02 Candy,2,601 General Merchan,n,,
