08-12-18T14:52:19: Start Log
08-12-18T14:52:19: Supplier: 1, Supplier XRef: FRITO
08-12-18T14:52:19: Supplier: 2, Supplier XRef: MULCH
08-12-18T14:52:19: Supplier: 3, Supplier XRef: REITER
08-12-18T14:52:19: Supplier: 4, Supplier XRef: SIZZ
08-12-18T14:52:19: Supplier: 5, Supplier XRef: DEBBIE
08-12-18T14:52:19: Supplier: 6, Supplier XRef: SUPER
08-12-18T14:52:19: Supplier: 7, Supplier XRef: BREAD
08-12-18T14:52:19: Supplier: 8, Supplier XRef: STORE
08-12-18T14:52:19: Supplier: 9, Supplier XRef: PEPSIIN
08-12-18T14:52:19: Supplier: 10, Supplier XRef: COKEIND
08-12-18T14:52:19: Supplier: 11, Supplier XRef: ROSES
08-12-18T14:52:19: Supplier: 12, Supplier XRef: EBYAUROR
08-12-18T14:52:19: Supplier: 13, Supplier XRef: PEPSICIN
08-12-18T14:52:19: Supplier: 14, Supplier XRef: PEPSICOL
08-12-18T14:52:19: Supplier: 15, Supplier XRef: COLUDIST
08-12-18T14:52:19: Supplier: 16, Supplier XRef: ROBNDIST
08-12-18T14:52:19: Supplier: 17, Supplier XRef: GEER
08-12-18T14:52:19: Supplier: 18, Supplier XRef: COKECLEV
08-12-18T14:52:19: Supplier: 19, Supplier XRef: PEPSICLE
08-12-18T14:52:19: Supplier: 20, Supplier XRef: NICKCLEV
08-12-18T14:52:19: Supplier: 21, Supplier XRef: WINEDIST
08-12-18T14:52:19: Supplier: 22, Supplier XRef: RLLIPTON
08-12-18T14:52:19: Supplier: 23, Supplier XRef: GRIPDAYT
08-12-18T14:52:19: Supplier: 24, Supplier XRef: TOM
08-12-18T14:52:19: Supplier: 25, Supplier XRef: PEPSIMUN
08-12-18T14:52:19: Supplier: 26, Supplier XRef: KOZMILLR
08-12-18T14:52:19: Supplier: 27, Supplier XRef: BUDCHIC
08-12-18T14:52:19: Supplier: 28, Supplier XRef: ROMANO
08-12-18T14:52:19: Supplier: 29, Supplier XRef: UNIONLIQ
08-12-18T14:52:19: Supplier: 30, Supplier XRef: PAINENT
08-12-18T14:52:19: Supplier: 31, Supplier XRef: LUVUROSE
08-12-18T14:52:19: Supplier: 32, Supplier XRef: PEPSISPR
08-12-18T14:52:19: Supplier: 33, Supplier XRef: PEPSMICH
08-12-18T14:52:19: Supplier: 34, Supplier XRef: SCHAEFER
08-12-18T14:52:19: Supplier: 35, Supplier XRef: MIKESELL
08-12-18T14:52:19: Supplier: 36, Supplier XRef: COKEELYR
08-12-18T14:52:19: Supplier: 37, Supplier XRef: INTRASTA
