08-10-18T22:08:08: Start Log
08-10-18T22:08:08: Found Input File: Retail Item-601 Cigarettes_01.csv
08-10-18T22:08:08: Department: 601 Cigarettes
08-10-18T22:08:29: Item Rows: 10
08-10-18T22:08:34: Item Rows: 20
08-10-18T22:08:39: Item Rows: 30
08-10-18T22:08:43: Item Rows: 40
08-10-18T22:08:49: Item Rows: 50
08-10-18T22:08:53: Item Rows: 60
08-10-18T22:08:58: Item Rows: 70
08-10-18T22:09:02: Item Rows: 80
08-10-18T22:09:06: Item Rows: 90
08-10-18T22:09:10: Item Rows: 100
08-10-18T22:09:13: Item Rows: 110
08-10-18T22:09:17: Item Rows: 120
08-10-18T22:09:20: Item Rows: 130
08-10-18T22:09:26: Item Rows: 140
08-10-18T22:09:30: Item Rows: 150
08-10-18T22:09:35: Item Rows: 160
08-10-18T22:09:39: Item Rows: 170
08-10-18T22:09:43: Item Rows: 180
08-10-18T22:09:47: Item Rows: 190
